datetime,deviceId,inputId,value
2022-02-27T18:10:16.933+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:10:16.972+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,255
2022-02-27T18:10:16.972+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,44
2022-02-27T18:10:16.972+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,0
2022-02-27T18:10:55.011+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:10:56.665+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:10:59.241+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,158
2022-02-27T18:10:59.241+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,158
2022-02-27T18:11:05.996+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,10
2022-02-27T18:11:05.996+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,10
2022-02-27T18:11:10.001+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,61
2022-02-27T18:11:10.001+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,0
2022-02-27T18:11:10.001+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,0
2022-02-27T18:11:13.101+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,46
2022-02-27T18:11:13.104+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,154
2022-02-27T18:11:13.104+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,255
2022-02-27T18:11:51.387+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:11:52.718+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:12:44.222+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,245
2022-02-27T18:12:44.222+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,121
2022-02-27T18:12:44.222+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,0
2022-02-27T18:12:49.143+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:13:31.049+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,255
2022-02-27T18:13:31.049+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,112
2022-02-27T18:13:31.050+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,112
2022-02-27T18:13:39.694+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:13:42.818+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,117
2022-02-27T18:13:42.818+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,117
2022-02-27T18:13:46.192+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,0
2022-02-27T18:13:46.192+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,8
2022-02-27T18:13:46.192+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,255
2022-02-27T18:13:48.000+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:13:52.323+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:13:58.817+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:15:23.254+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,78
2022-02-27T18:15:23.254+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,154
2022-02-27T18:15:23.255+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,6
2022-02-27T18:15:42.303+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:15:44.010+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:15:50.028+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:15:53.374+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,255
2022-02-27T18:15:53.374+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,133
2022-02-27T18:15:53.374+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,133
2022-02-27T18:15:55.600+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:16:15.840+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:16:47.017+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:16:47.064+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,255
2022-02-27T18:16:47.064+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,133
2022-02-27T18:16:47.065+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,133
2022-02-27T18:17:47.674+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:18:14.677+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:18:16.124+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:18:19.184+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:19:47.068+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:19:47.108+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,255
2022-02-27T18:19:47.108+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,133
2022-02-27T18:19:47.108+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,133
2022-02-27T18:19:51.265+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:19:52.470+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:20:11.427+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:20:24.632+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:20:37.508+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,114
2022-02-27T18:20:37.509+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,159
2022-02-27T18:20:37.509+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,207
2022-02-27T18:20:46.545+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,255
2022-02-27T18:20:46.545+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,82
2022-02-27T18:20:46.545+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,82
2022-02-27T18:23:17.106+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:23:17.107+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,255
2022-02-27T18:23:17.107+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,82
2022-02-27T18:23:17.108+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,82
2022-02-27T18:24:04.393+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:24:09.122+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:24:11.432+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,102
2022-02-27T18:24:11.432+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,102
2022-02-27T18:24:16.132+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,252
2022-02-27T18:24:16.132+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,233
2022-02-27T18:24:16.132+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,79
2022-02-27T18:24:18.935+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,off
2022-02-27T18:24:46.742+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:25:47.120+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,turn,on
2022-02-27T18:25:47.121+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,red,252
2022-02-27T18:25:47.121+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,green,233
2022-02-27T18:25:47.121+01:00,2ed19e0e-0a73-46ad-968c-0084e0f5cfd9,blue,79
2022-02-27T18:32:38.137+01:00,314ef438-3016-4714-aa55-30f7c046dc34,turn,off
2022-02-27T18:32:38.180+01:00,314ef438-3016-4714-aa55-30f7c046dc34,green,95
2022-02-27T18:32:38.180+01:00,314ef438-3016-4714-aa55-30f7c046dc34,red,255
2022-02-27T18:32:38.180+01:00,314ef438-3016-4714-aa55-30f7c046dc34,blue,0
2022-02-27T18:32:39.666+01:00,314ef438-3016-4714-aa55-30f7c046dc34,turn,on
2022-02-27T18:52:47.441+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,turn,off
2022-02-27T18:52:49.152+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,turn,on
2022-02-27T18:52:52.809+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,red,255
2022-02-27T18:52:52.809+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,green,87
2022-02-27T18:52:52.809+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,blue,87
2022-02-27T18:52:54.443+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,turn,off
2022-02-27T18:52:55.899+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,turn,on
2022-02-27T18:52:57.868+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,red,240
2022-02-27T18:52:57.868+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,green,0
2022-02-27T18:52:57.868+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,blue,0
2022-02-27T18:53:15.806+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,turn,off
2022-02-27T18:53:17.241+01:00,c0ed5e4d-3ee2-48b3-b23b-53d2062a1dd8,turn,on
2022-02-27T18:55:55.716+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,turn,on
2022-02-27T18:55:55.768+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,red,240
2022-02-27T18:55:55.768+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,green,0
2022-02-27T18:55:55.768+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,blue,0
2022-02-27T18:56:04.120+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,turn,off
2022-02-27T18:56:08.675+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,turn,on
2022-02-27T18:56:13.189+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,red,255
2022-02-27T18:56:13.189+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,green,122
2022-02-27T18:56:13.189+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,blue,122
2022-02-27T18:56:19.022+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,red,233
2022-02-27T18:56:19.022+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,green,185
2022-02-27T18:56:19.022+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,blue,110
2022-02-27T18:56:23.652+01:00,dc321951-a2b2-4f27-80f0-5befbdab6f7e,red,237
